mysql> select accession,taxid,speciesid,species,genus from genome left join taxon on taxid=taxon.id where taxid in (select id from taxon where family='Flaviviridae') and accession like "NC_%" order by speciesid;
+-----------+--------+-----------+----------------------------------------+-------------+
| accession | taxid  | speciesid | species                                | genus       | shorthand
| AJ277609 |  |  |  |  | NoVI
| GU296356 |  |  |  |  | NoVI
| GU299761 |  |  |  |  | NoVI
| AB039774 |  |  |  |  | NoVI
| AJ277615 |  |  |  |  | NoVI

| JQ944674 |  |  |  |  | NoVII
| EU494666 |  |  |  |  | NoVII
| AB262146 |  |  |  |  | NoVII
| AB758451 |  |  |  |  | NoVII
| HM802548 |  |  |  |  | NoVII
| KC409240 |  |  |  |  | NoVII

| EU794901 |  |  |  |  | NoVIII
| FM242190 |  |  |  |  | NoVIII
| EU360814 |  |  |  |  | NoVIII

